"id","user_id","title","description","years","months","published","order"
23,5,"Aðstoð við arðsemisútreikninga verkefna og fyrirtækja","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,6
21,5,"Námskeið um fjármál fyrirtækja og áhættustýringu","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,4
19,5,"Ráðgjöf til fyrirtækja um lausafjárstýringu","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,2
30,6,"Skattalegar og lögfræðilegar áreiðanleikakannanir","Áreiðanleikakannanir sem lúta m.a. að staðfestingu á lagalegri stöðu, í aðdraganda eða vegna samningsgerðar, sem oft á tíðum tengjast fjármögnun verkefna og/eða viðskiptum við erlenda aðila.",25,0,TRUE,2
28,5,"Verðmat á núverandi eignum","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,11
27,5,"Mótun fjárfestingastefnu ","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,10
26,5,"Ráðgjöf um samruna og yfirtökur","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,9
24,5,"Aðstoð við fjármögnun verkefna","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,7
22,5,"Námskeið um fjármögnun og arðsemisútreikninga verkefna","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,5
20,5,"Aðstoð við kaup og sölu fyrirtækja","Hef veitt fyrirtækjum fjármálaráðgjöf, bæði sem starfsmaður Arion banka og Íslandsbanka í 4 ár og síðar sem óháður ráðgjafi. Menntun í fjármálum frá UPenn með áherslu á áhættustýringu og fjármögnun. Kenni áhættustýringu í Háskóla Íslands og hef haldið fjölda námskeiða um fjármál.",8,0,TRUE,3
31,6,"Verjendur í skattamálum","Sérfræðingar með áratugareynslu af skattkerfinu, m.a. við skatteftirlit og skattrannsóknir. Sérþekking á verjendastörfum skattsvikamála sem og aðstoð við aðra lögmenn eða sérfræðinga við þeirra störf. ",25,0,TRUE,3
